city,population
Atlanta,488800
Austin,964254
Baltimore,602495
Boston,694583
Buffalo,256480
Chicago,2706000
Cincinnati,301394
Dallas,1345000
Denver,705576
Detroit,672662
Fort Worth,874401
Houston,2310000
Kansas City,486404
Little Rock,197958
Los Angeles,3990000
Louisville,617790
Milwaukee,592025
Nashville,692587
New York City,8419000
Philadelphia,1584000
Phoenix,1660000
Portland,645291
Raleigh,464485
Sacramento,500930
San Francisco,883305
Seattle,724305
Virginia Beach,450201
Washington DC,692683
